iter	MultiClass
0	2.407632
1	2.060281797
2	1.765844025
3	1.573057797
4	1.389671244
5	1.224472943
6	1.120202163
7	1.023337665
8	0.9302969238
9	0.8462138
10	0.7791302565
11	0.713621897
12	0.6607108611
13	0.6123655169
14	0.5737612778
15	0.5324143483
16	0.5003756716
17	0.4684750093
18	0.4365299125
19	0.4066171473
20	0.3854506967
21	0.3642537858
22	0.3453976667
23	0.3287363603
24	0.3112938211
25	0.2965790562
26	0.2812640492
27	0.2685934345
28	0.2559795994
29	0.2428546667
30	0.2309340851
31	0.2196850895
32	0.2112294591
33	0.2029224111
34	0.1951296494
35	0.1891371084
36	0.1820685252
37	0.1759139489
38	0.1683849875
39	0.162486578
40	0.1560829014
41	0.1504170384
42	0.1448392543
43	0.1391310621
44	0.134998567
45	0.1304657249
46	0.1265516771
47	0.1226540666
48	0.1196284236
49	0.1165171463
50	0.1132858423
51	0.1102300709
52	0.1079308223
53	0.1049990128
54	0.1022891743
55	0.1000895664
56	0.09754160912
57	0.09525957636
58	0.09311531221
59	0.09068952387
60	0.08816317442
61	0.08573204275
62	0.08390975243
63	0.08205057121
64	0.08054047473
65	0.07910534016
66	0.07739372467
67	0.07575493506
68	0.07400557179
69	0.07225115363
70	0.07103413034
71	0.06973265259
72	0.06867086254
73	0.06759569425
74	0.0662051412
75	0.06456854217
76	0.06371573659
77	0.06250536073
78	0.06164876158
79	0.06081971188
80	0.05954939388
81	0.05861953939
82	0.05797496173
83	0.05712609006
84	0.05634203931
85	0.05528437545
86	0.05418868908
87	0.05330701522
88	0.05253010053
89	0.05177968297
90	0.05109713704
91	0.05002310385
92	0.0493738945
93	0.04876735395
94	0.04785981836
95	0.04714480268
96	0.04652118731
97	0.04608397924
98	0.04551787612
99	0.04499516442
